label,sen
0,因为可栽培的品种被广泛栽培在世界各地的栽培园里，人们偶尔也能在许多非原产地发现从园里飘逸出来的种子形成的野生状态的薰衣草族群。
1,在黑死病肆虐的时代，法国格拉斯制作手套的工人，因为常以薰衣草油浸泡皮革，许多工人因此逃过鼠疫的侵袭。
0,234年，诸葛亮死后，魏延与杨仪因为争权，马岱奉杨仪之命率军斩杀魏延。
1,在早期枕头战常常把枕头扯坏，造成内填的羽毛等填充物四散飘荡，现代枕头造得比较强韧，因此这情形较少发生。
1,胆固醇若过低，则容易造成出血型中风、忧郁等疾病。
-3,此后不久奥尔汗的军队与约翰的军队之间的武装冲突导致了一场波及地中海沿岸几乎所有地区的威尼斯和热那亚之间的战争，最后这场战争导致了奥斯曼帝国入侵欧洲。
1,在查塔姆岛的最北端有一个长满野草的飞机场，这种恶劣的着陆环境严重限制了一般飞机的着陆，因为只有布里斯托尔运输机能够飞行如此之远并在这样的飞机跑道上安全着陆。
0,另外以哲学性的立足点，科学之所以与伪科学不同是因其可以经新的科学理论改动，他们认为社会生物学的提倡者不许理论的更动因此是伪科学。
0,在整个战争中，戴笠的人在美国物资和资金的援助下，把梯田改造成了一片具有800幢房屋的基地。
0,在比赛场地中，场地是由浮标所围成，运动员需用以帆船围绕浮标航行，而一旦因为天气所影响，浮标位置有可能会被作出调动。
1,愉景湾航运曾经在此开办来往赤𫚭角码头及东涌发展码头的航线，后于2003年停航，由新渡轮接办，于2004年，因为赤𫚭角码头停用而改为东涌来往屯门。
0,凡一切客观上足以造成人身伤害者皆是，包括螺丝起子、铲子皆是。
1,现代计算机图形卡几乎全部采用光栅技术显示，把整个屏幕分成像素的矩形点阵，这是因为基于光栅的图形硬件和矢量图形硬件相比要低价。
1,单个软件应用程序的典型用户界面也是本质上二维的，部分因为最普通的输入设备被限制于做二维的运动。
1,林肯曾宣称他自己没有宪法赋予的权力解放黑奴，此外，解放黑奴是种具有风险的政治行为，因为仍有部分蓄奴州效忠于联邦，且战争初始的目的集中在保护联邦的完整而非解放黑奴。
-3,1977年，发生伊犁农垦局六十一团场礼堂火灾，造成死亡694人、烧伤致残161人。
1,日本陆军省于11月21日发布了阿部规秀的阵亡公报，描述了阿部规秀因迫击炮弹造成的致命伤而死的情况，并称“大陆战场之花凋谢了”。
1,剧集中出现以性行为换取保单的剧情，所以引起了保险从业员的不满，认为剧情侮蔑保险业并会影响保险界的形象。
1,很少有人会崇拜阿撒托斯，因为那是彻头彻尾的疯狂之举。
1,当美利楼在中环的时候，是一级历史建筑；当被迁移至赤柱后，因位置不同，建筑物料亦有所改动，所以由一级历史建筑降至不予评级。
0,所以，包含“动物”、“矿石”和“四足”这些性质的文氏图，必须包含在其中有同时是动物、矿石和四足的某种东西的那个交集。
1,因为国会没有通过让安妮以合适的棺材埋葬，安妮的头与身体被放入一个柜子，埋在伦敦塔的教堂中。
3,真腊风土记传入法国后，直接导致了法国人于1860年代在密林中发现吴哥窟。
1,社会普遍认为智商高的人有自大的心态，所以对这类人有所反感，对于智商较高的人的行为，常会误读为是自大的表现。
1,因为思考的方式与效率不同，产生不同的结论与行为，而造成沟通不良等问题。
1,古埃及人将死者的身体制作成木乃伊，就是希望其在死后获得永生，因为并不是每一个人都能保证在死后复活。
1,他在阴间受痛苦，举目远远地望见亚伯拉罕，又望见拉撒路在他怀里，就喊着说：『我祖亚伯拉罕哪，可怜我吧！打发拉撒路来，用指头尖蘸点水，凉凉我的舌头；因为我在这火焰里，极其痛苦。
1,财主说：『我祖啊！既是这样，求你打发拉撒路到我父家去；因为我还有五个弟兄，他可以对他们作见证，免得他们也来到这痛苦的地方。
1,笔架山的地质结构复杂，又有巨大但松散的花岗岩，所以不能一下子用炸药开挖的方法，只能首先进行小规模爆破，之后再用人手慢慢开凿，平均每星期仅进展18英呎，导致工程进度被迫拖慢。
1,西贡墟人口不达到选区人口下限，所以往往加入对面海而组合为西贡市中心选区，选出一名区议员。
1,因为许多人对方言与语言划分的方法不同，克丘亚语系之下的语言数量也有所不同。
-1,1948年，国共内战进入白热化，造成物资紧缺，物价飞涨，南京西路也出现抢购风潮。
1,正是由于丞相的权力太大，皇帝不能亲自裁决政务，所以像汉武帝这样以英明神武自诩的皇帝是无法忍受的。
1,武帝以尚书、中书谒者拆阅章奏，受公卿奏事，传达诏命，所以尚书、中书谒者虽名列少府属官，实为内朝官。
1,三辅是位同列卿的京官，不过他们的职务都是管理长安附近的地方行政事务，与太守无异，所以也称他们所管辖的地方为三辅。
1,汉朝以孝治天下，特重孝廉之科，所以中选的人也很少。
0,吸入：造成缺氧，必须将其移到空气清新处，若人员已停止呼吸，采用人工呼吸；若呼吸困难，则吸氧，并迅速寻求医疗援助。
-1,2006年4月6日20时20分，女博士生、广中医一院风湿专科医生赵诗哲在大学办公楼，被校外匪徒闯入抢劫、强奸、捂口扼颈导致机械性窒息死亡，死后被焚尸灭迹。
1,婚姻通谕：1930年12月31日，他面对国家社会腐化的风气和家庭的解体，所以他引用圣经发布通谕。
0,3600多年前这里发生一次数千年来最猛烈的火山爆发，留下一个大火山口和数百米厚的火山灰，可能间接造成克里特岛的米诺斯文明消亡。
0,锡拉火山灾难性的喷发是爱琴地区在特洛伊陷落之前发生的最重要的历史事件，喷发可能导致东地中海地区巨大的气候变化，它也是地球上几千年来发生的最大的火山喷发事件。
1,杭州日租界因为远离杭州城，始终未能繁荣，绝大部分地段一直是农田和坟墓。
1,麦克唐纳担心经济持续不景气会削弱他的政治力量，所以，他计划在1886年末提前发起大选。
-1,然而因为艺妓行业的兴盛，求人益多，且为风花雪月的环境，多少不免有唯利是图的业者，所以也有艺妓的出身是因为生家需用钱、孤儿等等社会弱势的因素，而签下卖身契，或遭人口贩子贩卖的。
1,尽管克里普克的工作有开创性贡献，很多模态逻辑学家反对术语克里普克语义，因为这是对先驱们做的重要贡献的失礼。
1,英语之所以和弗里斯兰语相近，就是因为盎格鲁-弗里斯兰语组的二部落文化语言上的相近。
1,城市保留下来的17世纪的建筑已经很少了，因为除了军事和皇家的建筑外都是木头建造的。
-1,因为农场的收成欠佳，斯密一家只得靠挖掘地下的宝藏来补充农场微薄的收入。
2,因为教徒在亚当昂迪阿曼的定居，摩门教的影响越来越大。
-1,在那个时候，约瑟‧斯密是个先知，只有很少数的后期圣徒实行一夫多妻制，而每一个人，男人与女人，都因为这不舒服且不知如何去做的感觉而挣扎。
0,摩门经吸引了许多皈依者，但正如布罗迪所说，“这本书之所以能够延续到今日并非因为这本书本身，而是因为这本书的预言家。
-2,史密斯挑起了1838年在密苏里州爆发的暴力事件，导致该州的很多圣徒被驱逐。
0,事实上，因为他在重建千年之前的信仰上的杰出贡献，又因为他是先知，能拯救迷惘的以色列人，现代摩门教徒认为史密斯的重要性仅次于耶稣。
2,和慢波睡眠相比，异相睡眠和清醒状态一样都伴随着神经递质乙酰胆碱的大量利用，会导致较快的脑波。
0,根据则说，一元胺的暂停释放是必须的，因为一元胺位在大脑中的受器在休息过后，方能够恢复到最佳状态。
1,肌肉分为骨骼肌、心肌和平滑肌三种，其功能皆为产生力并导致运动。
1,肌肉会因为一些因素的引发而增大，例如激素的刺激、生长因子、力量训练及疾病等。
1,在1950年代，美国有些机场曾经装有自动售卖机，供旅客购买一种人身保险叫做“飞行保险”，但是后来因为法院对这种途径售卖的保险诠释严苛，保险公司停止以这一形式销售。
-1,自动贩卖机的出现给人类生活带来了极大方便，但同时也因为其便利性，从而产生了一些不良的社会影响。
1,除采矿业和农业外，渔业也很重要，因为塔克纳大区的海域鱼类资源丰富。
1,1974年9月，在他13至14岁时，保罗的外祖父去世，而他的母亲在参加完自己父亲的葬礼之后很快病倒，并因为脑溢血在二周后离开了人世。
1,2001年波诺的父亲包伯因为癌症去世，波诺与父亲之间的冷战关系成了波诺永远修复不了的破洞。
1,珍·西摩死后多年，画家们仍然画她，因为亨利仍然青睐这位唯一给他生下男孩的的王后。
0,除主要症状外，这些变化可对生活品质造成巨大影响。
1,行动不便加上上述症状，导致难以维持体能活动，从而增加肥胖症、高胆固醇血症、心脏病的风险。
1,在语法学中，词形变化指单词的变化，以导致语法功能改变，进而使其代表的意义也有所改变。
1,早期编剧多为话剧或者歌剧等创作，如百老汇等，后由于电视电影技术发展，导致话剧歌剧等的衰落，不少编剧难以维生，便转行至电影电视行业。
-3,1979年1月，法国对博卡萨的支持开始减少——当月在首都班戈发生的骚乱导致了对平民的大屠杀。
1,由于四楼的餐厅是向外凸出，所以其下层其实是呈中空状态的，换言之下方就是商场外的地下行人路与商场入口，形成特别的外观。
1,小泽征尔：如果我听了这次演奏，我昨天绝对不敢指挥这个曲目，因为我并没有理解这首音乐，因此，我没有资格指挥这个曲目……这种音乐只应跪下来听。
1,圣彼得堡分所名字有点误导，因为现在它与以前的研究所没有明显关系。
0,某亲中媒体指，派发传单被学校没收而对关注组行动成功造成阻力，然而此报导却未经查证。
0,因为莫达非尼可能具有的成瘾性，其于中国大陆、台湾、美国、日本、俄罗斯等地被严格管制，在绝大多数的国家属于处方药。
0,因为其可能导致过敏反应以及精神障碍，欧洲药品管理局建议新的莫达非尼处方应该仅在用于治疗嗜睡相关的睡眠障碍时开出。
0,莫达非尼也被发现用于治疗多发性硬化症导致的疲劳感。
0,加拿大医学协会杂志还报道，莫达非尼被用于国际空间站的长期任务中，“可用于提升空间站人员在疲劳状态下的表现”且能缓解昼夜节律的紊乱及睡眠不足造成的症状。
0,有罕见的报告称莫达非尼可导致更严重的副作用，包括严重的皮疹和其他可能与过敏相关的症状。
1,桥咀洲人口不多，所以往往加入其他地方而组合为西贡离岛选区，选出一名区议员。
1,此例中，攻击概率与原始的生日问题稍有不同，因为马洛里将在寻找两份具有相同哈希的正常合同与伪造合同时将一无所获。
1,1946年，数学家开始研究样条形状，该形状通过分段的多项式公式推导出来，因为其和机械生产中的样条相类似，将其命名为样条曲线或样条函数。
1,因为俄罗斯和伊朗两国靠近里海，历史上两国出产的上等鱼子酱一度占全世界市场的95%；此外俄罗斯与中国交界处的阿穆尔河中生活着达氏鳇，也能出产鱼子酱。
0,而其所以学之序，亦有五焉，具列如左：博学之。
0,熹窃观古昔圣贤所以教人为学之意，莫非使之讲明义理，以修其身，然后推以及人，非徒欲其务记览，为词章，以钓声名，取利禄而已也。
-1,此事件导致当时台北市新闻处处长罗文嘉引咎辞职，数年后又衍生罗文嘉与国泰人寿有关这次事件的赔偿费用分担问题。
1,进入大坂城后，因为被视为丰臣家的谱代家臣，得到诸将的信赖并被称为大坂五人众之一。
-3,前260年，赵孝成王在和秦国的长平之战中，中了秦国的反间计，用“纸上谈兵”的赵括取代老将廉颇，结果导致赵国的大败，40多万兵士被秦国坑杀。
0,楚史学家张正明认为，春申君晚年之所以会轻信李园而被其所害，是因为他在晚年因为早年的丰功伟绩而变得自信满满，太过于相信自己的判断。
-2,伯纳乌球场的高度因为这次翻新由22米提升到了45米，这使得球场在冬天将会迎来很多问题。
2,此外，因为高度的提升，提升照明系统也变得很必要。
1,现时，五绝被认为近体诗中最难写的体裁，因为它字数最少，表达的意思不可太多，要言简意赅。
-1,然而也就在此时，三股无法坐视平氏专政的势力也已然成形，除了必然对之不满的皇族及贵族外，武士族群也因为平氏的贵族化，利害关系已经与其渐行渐远而大感不满。
1,因为是旧区关系，土瓜湾区内不少楼宇设有老人院。
0,由于米诺斯语言已经失传，所以很难判断对它的破译是正确的，或只是因为错误的符号-声音转换而导致的无意义的语言。
1,大高玄殿的牌楼采用粗大的楠木立柱，柱脚埋入地下很深，故未用戗柱，所以老北京有歇后语“大高玄殿的牌坊———无依无靠。
-3,1918年2月26日，跑马地马场举行周年大赛时，发生伤亡惨重的火灾，由于当时的看台只以竹棚搭建，加上环境挤迫，导致500余人丧生。
1,虽然看起来和骨骼类似，但牙齿不是骨头，因为它不生产红血球，没有连接颌骨的关节，比骨头能承受更多更大的磨损。
1,为小明杀了眷村帮派份子，躲到台南避锋头的青年哈尼，回台北时对小四却很友善，因为他相信小四能让小明幸福，小四也被哈尼的风采吸引。
1,姜健原名姜信泰，朝鲜半岛南部庆尚北道尚州人，早年因为逃避日本统治而移居中国，曾经被编入东北抗日联军第五军，并且加入中国共产党。
1,1938年，因为德布罗意在理论物理学的杰出贡献，德国物理学会颁给他最高荣誉马克斯·普朗克奖章。
1,李登辉执政时期间，由于大幅放宽媒体管制，因此大金牛的存在广为人知，一些地方黑道人物也因为一清专案的冲击，开始从政以获得保护伞。
1,码头刚启用时，因为中国内地陆路交通还很不方便，空运班次因受中英两国飞行协定所限，造就香港的定期跨境船务的繁荣。
0,所以现今食用的部位，一般是指茭白，而非菰米。
1,地形复杂，造成温度、降水、光照的地理差异明显。
-1,尽管因为一次大战爆发造舰竞赛被迫停歇，但随后的1919至1922年期间出现了战后仅存的海上强权——英国以及新兴的海军列强——美国与日本引发新一波海军军备竞赛的危机。
1,反应的左边和右边的系数和不一样，所以当平衡后增加压力，反应会朝向气体化学计量数之和较小的方向进行，减少气体的量，以削弱压力增加带来的影响。
1,以往的罗马字圣经，是旧约方面比新约错误多，在教会内主要是使用新约较多，所以我就计划先改译新约圣经。
1,亦有些往返大埔区、北区、边境等地至此站周边设施的乘客，会选择步行约15-20分钟到沙田站或大围站乘搭东铁线往返该等地区，所以成为屯马线一期12个车站之中出入闸人流最少的车站。
1,马鞍山线通车前本站曾命名为利安站，因为车站位于利安邨的东面。
0,是什幺导致迈锡尼文明在这个时期的衰落呢？有数种解释被提出，而其中试着透过气候变化或是自然灾害等方法的解释已经没落。
1,剩下的第二个理论，认为迈锡尼文明的陨落发蕴于社会内部冲突，如社会最底层对于宫廷制度的反抗，因为前者在青铜时代末期日益贫困。
1,一季之后，尽管摩连迪斯在欧洲足协杯上有一箭定江山的上佳表现，但因为年纪渐增而韦拿、桑·马达和大卫·施华这些后起之秀状态正盛，故此开始逐渐淡出球队的联赛正选阵容。
1,1898年6月9日，因为英国与清廷订约租借新界，新安县从此被划分，逐渐以西贡和蓝头为传教中心。
1,1997年香港回归中国，由于香港实行一国两制，香港无需成为中国天主教主教团成员，所以香港教区仍然直接由圣座牧养。
0,夜市多在民众下班时间后营业，所以除了日常用品外，亦供应饮食、游戏等：。
1,李师儿入宫后，和一群宫女一起向宫教张健学习，但是因为宫中有规定，宫教教书时需与宫女之间隔上纱障，因此师生之间的沟通是见不到面的。
-1,师儿之兄李喜儿曾经是强盗，但却因为妹妹得宠的关系，与弟弟李铁哥都被拔擢为显要亲近，权倾朝廷，于是成为追逐名利之徒依附的对象。
1,史书将其记作次子、三子，是因为将养子郭荣算作长子。
0,蒙特利尔大学是一所以法语为教学语言的加拿大公立大学，位于加拿大魁北克省蒙特利尔市皇家山脚下。
1,其中最重要的概念就是以使用者为中心去思考人机互动，所以和易用性强调以完成工作为主的物的思维是不同的。
-1,在1980年代之前，爱尔兰通常在达利穆恩特公园球场作主场比赛，因为安全的关系达利穆恩特公园球场的座位被迫减少，他们在该场馆的最后一场比赛是在1990年对摩洛哥。
1,爱尔兰足球协会于2005年10月27日宣布，因为教练不能带领球队晋身2006年世界杯，决定辞去他的职位，由史当顿取代。
1,因为原始的尖顶遗失了，1998年法国政府在方尖碑的顶端加上了金色的金字塔尖顶。
-1,政府做了大量的工夫去救许愿树，但是由于许愿树损伤严重，所以即使尽了全力保育，只剩下四成生命力，仍然没有复原的迹象。
-3,1894年5至10月香港鼠疫爆发，当时许多华人鼠疫病死，导致二千人以上丧生，成为香港开埠甚至有记录至今最多人死亡的瘟疫，三分之一人口逃离香港。
-3,西营盘是香港最早发展区域之一，1851年因为太平天国的关系，大量中国难民的涌入。
1,傅斯年曾在中医问题等，因为反对孔庚的意见，孔庚辩不过他时对他爆出许多粗口之言。
1,同时，亦因为此次事件，祥嫂的好友黄夏蕙才为人所共知。
1,电路中接地的定义是规范对称性的一个例子；当线路所有点的电位升高相同的值时，电路的行为完全不变；因为电路中的电位差不变。
0,所以相互独立的规范场和李代数的生成元一样多。
1,动脉粥样硬化是一种是沉积在血管壁并造成动脉狭窄的疾病。
0,目前造成动脉粥样硬化的原因尚不明朗。
1,停战协定不可与和约同日而语，也不应称为暂时和约，因为在交战国之间以及在交战国与中立国之间，战争状态在各方面仍然继续存在，只是敌对行为停止而已。
1,夏季时由于打鼓岭的中心地带为内陆盆地，被周边的高地及山丘包围，所以在夏天经常记录到全香港最高温度。
1,由于打鼓岭人口不足以成为一个区议会选区，所以往往跟邻近的沙头角、坪𪨶等乡村范围划为同一个选区。
-3,本届奥运所面临问题包括巴西政府的腐败和不稳定性、寨卡病毒、瓜纳巴拉湾污染严重问题以及安全问题等，以及因为禁药丑闻造成俄罗斯的参赛选手受影响等比赛问题。
-1,俄罗斯田径选手无缘参加本次奥运，因为该国涉及2015年8月所发生的国际田径总会大量资料外泄，国际田径总会包庇了多达1/7的选手可能使用禁药的丑闻。
0,许多人呼吁推迟举办奥运会，并警告称50万名预期国际游客的出现可能会导致病毒在国外迅速传播。
1,帕里库廷火山最独特的是从始到终喷发的全过程一直被人们观察到，是历史上相当罕见的新火山形成目击事件，因此成为世界知名的火山故事代表，而且没有造成人员伤亡。
1,著名品牌香港生力啤酒厂曾经设厂在深井岸边，在1996年因为地皮具有发展临海住宅的潜力，生力啤于是卖地获利，并移至元朗新酒厂，于9月19日正式落成启用。
0,1925年8月9日，因为在台湾所染疟疾复发，进入盛冈一家医院治疗。
1,因为俗名金钱龟的缘故，所以这种龟经常被商家或私人所饲养。
1,因为家中收入不高，小野父母在1964年开始向报章投稿，赚取稿费；小野在中学时代也开始投稿，曾取得多项学生文学奖项。
-1,任内因人事问题说明不清导致预算遭议员暂搁。
-3,在2011年日本东北地方太平洋近海地震引发的东日本大震灾并导致福岛第一核电站事故后与柯一正、戴立忍等多名导演共同参与反核四运动。
0,在2005年球季，因为三巨投被比恩拆散了，有些专家认为运动家队将得到最后一名。
0,赤柬夺权的首个行动之一，是欺骗民众，指美军可能作出报复轰炸，所以要把所有城市人口强迁往郊区。
1,因为脑部缺氧，人体透过打哈欠将肺部撑大，吸入更多氧气；吐气时会让肺部收缩，将二氧化碳挤出。
1,译音表一般按各语言的拉丁拼写，列出该语言可能的辅音母音的组合与对应的汉字；但是英语因为发音不规则，所以按国际音标列出。
1,当美国联盟在波士顿成立另一支球队的时候，食豆人队差一点就得解散，因为对方支付了更高的薪水，使得大部分的球员都跳槽到新球队。
-1,周朝先得到计程车车行老板支持，决定把两间车行的司机因为争夺乘客所导致的争执，演变成一场扰乱大台北的暴动，牟取政治利益。
1,社交恐惧症不应该与惊恐障碍混淆，惊恐障碍患者相信他们的恐慌是由某些严重的物理原因造成，在发作当时或之后往往去医院或叫救护车。
1,2005年11月26日，横滨市因为低于着再计算了鹤见区的公寓大楼的建筑确认申请书基准，说明了向公寓大楼住址者发出使用禁止命令的方针。
1,对于局外人来说，理解哪些行为是“投机的”不容易，因为局外人不知晓整个故事、全部要素、或背后的真实动机。
1,在生物学中，机会主义“组织”通常被定义为某一物种可以在不同的环境中生存繁衍、通过不同的食物来维持生命、可以迅速利用环境，因为这种生物十分灵活。
1,从博弈论的角度来看，投机主义是个“问题”，如果追逐私利——会导致与他人利益“相冲突”——对某些角色或绝大多数人产生“不希望的、不想要的”结果。
0,无论是自愿性还是义务性的群体、集合、协会、组织，或是因为相互信任而合作，可能会为参与者提供相应的资源或关联：。
1,这样，这五个因素导致任何个人或群体都难以将私利与公益真诚地、持久地结合起来，形成道德上的双重标准反之，它创造出的环境会大量滋生投机主义——甚至“包括”社会主义运动内部。
0,一些武器专家认为，它直接将气体导入开火装置，容易携带碳渣，从而产生污垢和热量，造成润滑剂干燥，可能会在沙漠地区出现可靠性问题。
-1,政治权力的重心由穆斯林转移到西欧的基督徒，西欧的穆斯林也顺理成章地没有再钻研哲学，这导致东方的穆斯林世界与西方的交流疏离。
1,此事件的开端，源自于良子女王的兄长朝融王在学习院的身体检查中发现有色弱；身为元老的西园寺公望因为关心优生学，担心皇室有遗传问题而与山县谈起这件事。
1,大白菜耐储存，所以在中国，特别是北方的老百姓对白菜有特殊的感情。
1,由于大白菜是在秋季玉米收获后播种，初冬收获，产量大，管理容易，但储存需要占地，所以收获期间同时上市价格非常便宜。
1,王莽币由于大多工艺细致，十分精美，又兼其中个别货币存世量极少，所以受到中外钱币研究者和收藏家的喜爱。
0,慢波睡眠也被认为是深度睡眠，这或许因为在此阶段因故醒来的人们会感到意识迷迷糊糊，精神不甚清醒。
0,所以，如果有人想要做票的话，也可以通过增加公民进行选民登记的办法来实现。
1,2006年，侯自新卸任南开大学校长一职，官方给出的卸任原因为年龄过大，不再适任。
1,由于她的法语流利，所以即使到了法语区也一样受到民众们的欢迎。
1,但缺点是，因为联立制的应得总席次是由政党票得票率决定，分配比例代表席次前，必须先扣除同党的地区当选席次，不同于并立制中，比例代表席次直接就是政党票得票率的状况。
1,随着双非学童数量的逐渐增长，不少居住在深圳的双非儿童选择在香港上学，这也造成了跨境学童的总量增长。
1,由于深圳与香港新界北区各个新市镇还有一段距离，早期有不少家长不放心子女独自过境，所以把子女都留在深圳上课。
1,1908年，鲍桑葵的身体健康状况开始变差，他觉得如果继续在大学执教，就会失去许多写作时间，所以他决定退休了。
-1,地球联邦在无视吉翁军残余势力的情况下与吉翁共和国缔结停战协议，导致日后的战争隐患没能被清除。
-1,地球联邦并没有因一年战争而得到教训，在政策上依然奉行着地球至上主义，这导致了与宇宙住民的对立愈陷愈深。
-2,当日，汕尾电视台称，上周爆发警民冲突造成死伤的村中有九名居民被捕。
